"","subid","char","subid_char","duration","summary","summary_coded","yob","gender","ethnicity","religion","comments","be aware of things","can be turned on and off","feel embarrassed","feel guilty","feel happy","feel love","feel pain","feel proud","feel sad","feel scared","feel sick, like when you feel like you might throw up","feel tired","figure out how to do things","get angry","get hungry","get hurt feelings","is made out of metal","make choices","please choose yes","please click kinda","please select no","remember things","sense temperatures","sense whether something is close by or far away","smell things"
"38","R_21zbd2NsRJMForC","doll","R_21zbd2NsRJMForC_doll","245","An essay to know what dolls think they can do and what they do not","1","1993","f","white","christianity","No, you do not miss anything in the poll","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"39","R_22nW7h8GhVsEST1","computer","R_22nW7h8GhVsEST1_computer","313","I answered questions about what I think computers are capable of.","1","1993","f","white","other_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","YES","NO","YES","KINDA","NO","KINDA","KINDA","NO","NO"
"40","R_24HtoBXn8jkyrWA","bird","R_24HtoBXn8jkyrWA_bird","147","I answered questions about birds with yes/no.kinda buttons","1","1982","m","white","not_religious","","YES","NO","KINDA","KINDA","YES","KINDA","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"41","R_24obvg7k8vBlVCt","bird","R_24obvg7k8vBlVCt_bird","284","survey about birds","1","1979","f","white","christianity","nice survey","YES","KINDA","YES","YES","NO","YES","NO","YES","YES","NO","KINDA","YES","NO","YES","YES","YES","NO","KINDA","YES","KINDA","NO","YES","YES","YES","KINDA"
"42","R_25Gc4TMnpbXt08m","elephant","R_25Gc4TMnpbXt08m_elephant","115","I answered questions about the ability of elephants to think and feel","1","1969","f","white","christianity","","YES","YES","NO","NO","KINDA","KINDA","YES","KINDA","KINDA","YES","YES","YES","KINDA","YES","YES","NO","NO","YES","YES","KINDA","NO","KINDA","KINDA","YES","YES"
"43","R_269nHN6ePrZZoAW","bird","R_269nHN6ePrZZoAW_bird","181","I read phrases about birds and decided if the phrases could be answered in yes, no, or kinda.","1","1982","f","white","christianity","","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","KINDA","NO"
"44","R_26qhlDKM4cgHx73","elephant","R_26qhlDKM4cgHx73_elephant","111","I chose whether an elephant could experience certain feelings.","1","1984","f","white","not_religious","","KINDA","NO","NO","NO","NO","KINDA","YES","NO","NO","KINDA","KINDA","KINDA","KINDA","NO","YES","NO","NO","KINDA","YES","KINDA","NO","KINDA","YES","KINDA","YES"
"45","R_27I3nzhIBMrtT4N","elephant","R_27I3nzhIBMrtT4N_elephant","135","Assessed whether or not elephants can feel or experience a range of emotions and experiences","1","27","m","white","christianity","","YES","NO","KINDA","YES","YES","YES","YES","KINDA","YES","YES","KINDA","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","KINDA","YES","YES"
"46","R_27qa92SJlgoVvix","computer","R_27qa92SJlgoVvix_computer","271","On the first attention check 'please select no' I literally thought the question meant as to whether or not a computer can select 'no' so I said YES!  Apologies, I didn't catch it as quickly due to simple word choice for the sake of the (young) reader.  ","1","1983","m","white","other_religious","Very quick and straightforward. Thank you!","YES","YES","NO","NO","YES","NO","YES","NO","KINDA","YES","YES","YES","YES","KINDA","YES","NO","YES","YES","YES","KINDA","YES","YES","YES","YES","NO"
"47","R_293XePqrRshMAuf","robot","R_293XePqrRshMAuf_robot","487","This study was to determine if a robot can sense emotional and physical feelings, such as pain, etc.   ","1","1951","f","white","christianity","none","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","KINDA","NO","YES","YES","YES","NO"
"48","R_29tZ2C6h1tAPLYH","goat","R_29tZ2C6h1tAPLYH_goat","173","I was asked to choose a response based on various emotions about a goat such as 'Can a goat feel pain?'","1","1991","m","white","not_religious","","YES","NO","NO","KINDA","YES","YES","YES","YES","YES","YES","KINDA","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","KINDA"
"49","R_2af1SzJWk4Zf2hw","goat","R_2af1SzJWk4Zf2hw_goat","271","I was asked to respond how I thought goats felt different emotions.","1","1991","f","white","other_religious","","YES","NO","KINDA","KINDA","YES","KINDA","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"50","R_2aH7b8ljWvP0ymR","beetle","R_2aH7b8ljWvP0ymR_beetle","216","I answered questions on what I thought beetles can and can not do. ","1","1995","f","other_prefno","prefno","","YES","YES","YES","YES","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","NO","KINDA","YES","KINDA","NO","KINDA","YES","YES","YES"
"51","R_2aqpxiF5RQKgL5o","doll","R_2aqpxiF5RQKgL5o_doll","97","","","","","","","","","","","NO","","","NO","","NO","","","","","NO","","","","","","NO","","NO","","NO",""
"52","R_2AX2ZrwQ62xEGBl","elephant","R_2AX2ZrwQ62xEGBl_elephant","128","We rated what an elephant can and cannot do and the researchers will be doing something similar with children in the future. ","1","1992","m","white","not_religious","Good study! ","YES","KINDA","YES","KINDA","YES","YES","YES","KINDA","YES","YES","KINDA","YES","YES","YES","YES","YES","NO","KINDA","YES","KINDA","NO","YES","KINDA","YES","YES"
"53","R_2aXHiT2hnBO8OX8","mouse","R_2aXHiT2hnBO8OX8_mouse","322","I wrote an essay about what it was like to learn to play the violin.","0","1986","m","white","christianity","GOOD","YES","KINDA","YES","NO","YES","YES","KINDA","YES","NO","KINDA","YES","NO","KINDA","YES","YES","NO","YES","YES","YES","KINDA","NO","YES","YES","NO","YES"
"54","R_2B5PAFXlJvbLZ7T","elephant","R_2B5PAFXlJvbLZ7T_elephant","229","I this survey I was asked questions about elephants. ","","1975","f","white","christianity","","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","KINDA","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"55","R_2B8KoaTn2DOp881","goat","R_2B8KoaTn2DOp881_goat","140","I answered questions about goats and what I believe they are and are not capable of accomplishing.","1","1978","m","white","not_religious","","YES","NO","NO","NO","NO","NO","YES","KINDA","NO","YES","YES","YES","YES","KINDA","YES","NO","NO","NO","YES","KINDA","NO","KINDA","YES","KINDA","YES"
"56","R_2bUh4TbANsmvZRQ","goat","R_2bUh4TbANsmvZRQ_goat","106","i answered questions about goats","1","1980","m","white","christianity","","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","KINDA","NO","NO","NO","KINDA","NO","NO","NO","YES","KINDA","NO","NO","KINDA","KINDA","YES"
"57","R_2CKghr5yvNXiqLw","doll","R_2CKghr5yvNXiqLw_doll","14","","","","","","","","","","","","","","","","","","","NO","","","NO","NO","","","NO","","","","","NO",""
"58","R_2dojXXWaTxsQlVz","mouse","R_2dojXXWaTxsQlVz_mouse","204","answered what a mice can or can not do","1","1985","m","white","other_religious","optimize survey to fit desktop screen ","YES","NO","NO","NO","KINDA","KINDA","YES","NO","YES","YES","YES","YES","KINDA","KINDA","YES","YES","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"59","R_2dubNzoWojs6WJ7","goat","R_2dubNzoWojs6WJ7_goat","549","I just evaluated a list of things in which I was asked if I thought a goat could do or feel these things.","","1989","m","white","christianity","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"60","R_2fJ9Ev8M5LtM23E","computer","R_2fJ9Ev8M5LtM23E_computer","125","I answered questions about what computers are capable of.","1","1962","m","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","YES","NO","YES","KINDA","NO","KINDA","NO","NO","NO"
"61","R_2frrYq0NNEL39lq","goat","R_2frrYq0NNEL39lq_goat","220","I answered questions about goats and whether they could have certain emotions and do certain things.","1","1974","f","white","not_religious","I had no problems with the survey and really enjoyed it.","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","KINDA","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"62","R_2P6d4snhPXL3hML","robot","R_2P6d4snhPXL3hML_robot","254","I answered questions about a robot and if I think it can do or feel certain things.","1","1977","f","white","christianity","","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","KINDA","KINDA","YES","KINDA","NO","KINDA","NO","KINDA","NO"
"63","R_2pSmsE6PtrEBJtw","bird","R_2pSmsE6PtrEBJtw_bird","336","Evaluate characteristics a bird may or may not do.","1","1989","m","asian_east","not_religious","I think, I made a mistake in one of the questions, where it said, do you think bird can be turn on/off. I interpreted that questions as turn on/off their emotions, not in terms of like a light switch. Sorry about that.","YES","KINDA","KINDA","NO","KINDA","KINDA","YES","KINDA","KINDA","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","KINDA"
"64","R_2q9n04j2PF617TI","mouse","R_2q9n04j2PF617TI_mouse","43","","","","","","","","NO","","NO","KINDA","KINDA","NO","","NO","NO","KINDA","NO","KINDA","YES","","","NO","","KINDA","KINDA","","NO","","","KINDA","YES"
"65","R_2QGMQDfHUFpXtEb","goat","R_2QGMQDfHUFpXtEb_goat","143","Answered some questions about goats","1","1976","m","white","not_religious","","YES","NO","NO","NO","YES","YES","YES","KINDA","KINDA","YES","YES","YES","KINDA","KINDA","YES","KINDA","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"66","R_2Qneq4FdVE6d7zH","robot","R_2Qneq4FdVE6d7zH_robot","201","Answered questions on robots capabilities","","1983","f","white","christianity","No","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO"
"67","R_2QrIZoO2DG1X6PC","elephant","R_2QrIZoO2DG1X6PC_elephant","132","answered questions about whether an elephant can feel certain sensations/emotions/feelings or not","1","1992","m","white","not_religious","thank you and good luck!  Beto O'Rourke for US Senate!","KINDA","NO","KINDA","KINDA","YES","YES","YES","KINDA","YES","KINDA","KINDA","YES","YES","KINDA","YES","YES","NO","KINDA","YES","KINDA","NO","KINDA","YES","YES","YES"
"68","R_2QSfXuTiCUDOqVt","beetle","R_2QSfXuTiCUDOqVt_beetle","302","I answered short questions about my opinions on beetles and what I believe they are capable of.","1","1981","f","white","not_religious","","KINDA","NO","NO","NO","NO","NO","YES","NO","NO","KINDA","YES","YES","YES","NO","YES","NO","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"69","R_2QWnV9vskzKitwa","goat","R_2QWnV9vskzKitwa_goat","230","I answered whether or not a goat could do certain things.","1","1975","m","white","christianity","","YES","NO","KINDA","KINDA","YES","KINDA","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"70","R_2R8KNd0KOL3CJ0k","elephant","R_2R8KNd0KOL3CJ0k_elephant","127","I answered questions about what I think elephants can or cannot feel on a scale of ""no, kinda, yes"".","1","1968","f","white","christianity","","YES","NO","KINDA","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"71","R_2rBYiqMVGrhTNqT","goat","R_2rBYiqMVGrhTNqT_goat","213","I was shown a picture of a goat and prompted to provide one of three choices for various questions on goats.","1","1975","m","white","christianity","","YES","NO","NO","NO","KINDA","NO","YES","NO","NO","YES","YES","YES","YES","YES","YES","NO","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"72","R_2sbfyCtafXLVQHi","elephant","R_2sbfyCtafXLVQHi_elephant","222","I judged an elephant.","1","1977","f","black","not_religious","","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"73","R_2ScyQEGUZD0FRfR","mouse","R_2ScyQEGUZD0FRfR_mouse","450","I was asked a question about a mouse and had to choose one of three answers","","1958","m","asian_south","christianity","","YES","NO","NO","NO","KINDA","KINDA","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"74","R_2TB1Fd4qyyTnEYn","mouse","R_2TB1Fd4qyyTnEYn_mouse","858","I judged a mouse on types of  feelings","1","1971","f","white","not_religious","","YES","KINDA","NO","NO","YES","YES","YES","NO","KINDA","YES","KINDA","YES","YES","NO","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","KINDA","YES"
"75","R_2TB3W5iLoC69uWB","teddy_bear","R_2TB3W5iLoC69uWB_teddy_bear","165","I responded to questions about what I think a teddy bear can do.","1","1950","f","white","christianity","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"76","R_2tDNTKEusBdhW4y","doll","R_2tDNTKEusBdhW4y_doll","21","","","","","","","","","","","KINDA","NO","","","","","","","KINDA","KINDA","","","","","KINDA","KINDA","","","","","","KINDA"
"77","R_2tEeTk8OlwlAs5N","bird","R_2tEeTk8OlwlAs5N_bird","222","I was answering yes or no questions about birds and what I think they are capable of","","1988","f","black","christianity","","YES","NO","NO","NO","NO","NO","YES","NO","NO","KINDA","YES","YES","YES","KINDA","KINDA","NO","NO","YES","YES","KINDA","NO","YES","KINDA","KINDA","YES"
"78","R_2TIemy6t5BwicmH","robot","R_2TIemy6t5BwicmH_robot","288","I answered multiple choice questions about different attributes of a robot.","1","1953","m","white","christianity","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","YES","NO","YES","KINDA","NO","KINDA","KINDA","KINDA","NO"
"79","R_2TLAoibypHcijNK","mouse","R_2TLAoibypHcijNK_mouse","311","I answered questions about mice","1","1961","m","white","not_religious","no","YES","NO","NO","NO","NO","NO","YES","NO","NO","KINDA","KINDA","YES","YES","NO","YES","NO","NO","KINDA","YES","KINDA","NO","NO","YES","YES","YES"
"80","R_2Tnivd12l6JMCh3","computer","R_2Tnivd12l6JMCh3_computer","209","I took a yes/no/kinda survey about computers. ","","1988","m","white","other_religious","","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","YES","NO","NO","NO","YES","KINDA","YES","KINDA","NO","YES","YES","KINDA","NO"
"81","R_2ttWeuyntO4WPdY","beetle","R_2ttWeuyntO4WPdY_beetle","324","chose what a beetle can and cannot do","1","1966","m","asian_east,white","not_religious","","KINDA","NO","NO","NO","NO","NO","YES","NO","NO","KINDA","KINDA","KINDA","YES","KINDA","YES","NO","NO","KINDA","YES","KINDA","NO","KINDA","YES","KINDA","YES"
